alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,filled_with_popular,clean_fake_method
(SPRS) KNNBasic cosine user,0.58384,0.02551,0.02072,0.04524,0.07855,0.12125,0.06914,0.06667,TRUE,No Clean
(SPRS) CoClustering,0.57225,0.0113,0.01826,0.0265,0.03186,0.10892,0.04923,0.03978,TRUE,No Clean
K-markov(k=2),0.56547,0.0229,0.02058,0.02791,0.04765,0.08264,0.04744,0.0509,TRUE,No Clean
(MML) ItemKNN,0.56326,0.01304,0.01739,0.02289,0.0298,0.09068,0.04238,0.03822,TRUE,No Clean
(SPRS) BaselineOnly,0.55821,0.02058,0.0171,0.02236,0.03826,0.06816,0.03873,0.0436,TRUE,No Clean
(SPRS) KNNBaseline,0.55787,0.01855,0.01623,0.04351,0.05054,0.07339,0.05627,0.0683,TRUE,No Clean
(SPRS) NMF,0.55237,0.01333,0.01507,0.01606,0.02645,0.06771,0.03221,0.0334,TRUE,No Clean
(SPRS) KNNWithMeans,0.55148,0.01652,0.01391,0.02408,0.04369,0.06724,0.0387,0.04204,TRUE,No Clean
(SPRS) SVD++,0.54945,0.01449,0.01449,0.01944,0.0251,0.055,0.0326,0.03843,TRUE,No Clean
(SPRS) KNNWithZScore,0.548,0.01681,0.01275,0.02159,0.04758,0.06398,0.03526,0.03493,TRUE,No Clean
(SPRS) SVD (base model),0.54688,0.01275,0.01319,0.01521,0.02232,0.05054,0.02787,0.03375,TRUE,No Clean
(SPRS) SlopeOne,0.54591,0.00986,0.01362,0.01562,0.01745,0.05669,0.02926,0.03221,TRUE,No Clean
(MML) BPRSLIM,0.5454,0.01217,0.01261,0.01766,0.02776,0.05826,0.03075,0.03239,TRUE,No Clean
(SPRS) KNNBasic pearson item,0.54362,0.01275,0.0113,0.01733,0.03461,0.0573,0.03,0.02959,TRUE,No Clean
(MML) MultiCoreBPRMF ,0.53966,0.00812,0.0113,0.00948,0.01578,0.04422,0.02059,0.02228,TRUE,No Clean
(MML) MostPopularByAttributes,0.53795,0.01101,0.01087,0.0125,0.02453,0.04514,0.02311,0.02367,TRUE,No Clean
(MML) WeightedBPRMF,0.53793,0.00928,0.01087,0.01103,0.01345,0.04514,0.02228,0.02772,TRUE,No Clean
(MML) WRMF,0.53728,0.01014,0.01014,0.01739,0.02352,0.04286,0.02669,0.03103,TRUE,No Clean
(MML) UserKNN,0.53581,0.01362,0.01188,0.01301,0.02387,0.0376,0.02291,0.03083,TRUE,No Clean
(MML) MostPopular,0.53464,0.00899,0.00986,0.01404,0.01657,0.03666,0.02288,0.02981,TRUE,No Clean
(MML) SoftMarginRankingMF,0.53056,0.00638,0.00768,0.00897,0.01711,0.03197,0.01653,0.01658,TRUE,No Clean
(MML) ItemAttributeKNN ,0.53036,0.00696,0.00826,0.0113,0.01646,0.03287,0.01885,0.02083,TRUE,No Clean
(MML) BPRMF,0.53024,0.00667,0.00826,0.00897,0.01743,0.03287,0.01692,0.01691,TRUE,No Clean
(SPRS) KNNBasic cosine item,0.5296,0.00522,0.00725,0.00671,0.01255,0.03328,0.01496,0.01411,TRUE,No Clean
(SPRS) NormalPredictor,0.52331,0.00754,0.00565,0.00968,0.01829,0.027,0.01556,0.01842,TRUE,No Clean
(MML) Random,0.52294,0.00667,0.00609,0.00838,0.01476,0.02352,0.0138,0.01751,TRUE,No Clean
(MML) UserAttributeKNN,0.5227,0.00348,0.00609,0.00502,0.00589,0.02352,0.01074,0.0102,TRUE,No Clean
(MML) Zero,0.51724,0.00493,0.00551,0.00373,0.00689,0.01534,0.00833,0.0115,TRUE,No Clean
