,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,filled_with_popular,clean_fake_method
0,(Surprise) SVD (base model)TrueNo Clean,0.53703,0.01188,0.01116,0.01185,0.01924,0.04073,0.02232,0.02842,True,No Clean
1,(Surprise) SVD++TrueNo Clean,0.54051,0.01188,0.01275,0.01582,0.0199,0.04356,0.027,0.03747,True,No Clean
2,(Surprise) NMFTrueNo Clean,0.53502,0.01275,0.01058,0.01374,0.02392,0.03407,0.02276,0.03004,True,No Clean
3,(Surprise) SlopeOneTrueNo Clean,0.53355,0.0087,0.01087,0.00955,0.01326,0.03684,0.01962,0.02393,True,No Clean
4,(Surprise) KNNBaselineTrueNo Clean,0.54491,0.01739,0.01348,0.01743,0.04084,0.05354,0.03062,0.03507,True,No Clean
5,(Surprise) KNNBasic cosine user min = 1TrueNo Clean,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,True,No Clean
6,(Surprise) KNNBasic pearson userTrueNo Clean,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,True,No Clean
7,(Surprise) KNNBasic cosine itemTrueNo Clean,0.51694,0.00232,0.00449,0.00327,0.00361,0.01343,0.00731,0.00827,True,No Clean
8,(Surprise) KNNBasic pearson itemTrueNo Clean,0.53112,0.01072,0.00855,0.01265,0.03036,0.03745,0.02132,0.02073,True,No Clean
9,(Surprise) KNNWithMeansTrueNo Clean,0.53832,0.00783,0.01116,0.01003,0.01212,0.04739,0.02169,0.02225,True,No Clean
10,(Surprise) KNNWithZScoreTrueNo Clean,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,True,No Clean
11,(Surprise) CoClusteringTrueNo Clean,0.54331,0.00725,0.01,0.02843,0.02395,0.06089,0.03865,0.04273,True,No Clean
12,(Surprise) SVD (base model)TrueRanked 1 Item,0.53778,0.00957,0.01116,0.01239,0.01857,0.03841,0.0225,0.0271,True,Ranked 1 Item
13,(Surprise) SVD++TrueRanked 1 Item,0.53229,0.01072,0.01072,0.01033,0.01503,0.03066,0.0195,0.02994,True,Ranked 1 Item
14,(Surprise) NMFTrueRanked 1 Item,0.52659,0.00783,0.00754,0.01593,0.01781,0.02468,0.02046,0.02484,True,Ranked 1 Item
15,(Surprise) SlopeOneTrueRanked 1 Item,0.5301,0.01072,0.01,0.00818,0.01308,0.0296,0.01719,0.02471,True,Ranked 1 Item
16,(Surprise) KNNBaselineTrueRanked 1 Item,0.53762,0.01217,0.01275,0.00917,0.02234,0.0399,0.02034,0.021,True,Ranked 1 Item
17,(Surprise) KNNBasic cosine user min = 1TrueRanked 1 Item,0.55458,0.01507,0.01464,0.02129,0.03601,0.07159,0.03735,0.03368,True,Ranked 1 Item
18,(Surprise) KNNBasic pearson userTrueRanked 1 Item,0.548,0.01217,0.01261,0.01607,0.02993,0.06352,0.03029,0.02655,True,Ranked 1 Item
19,(Surprise) KNNBasic cosine itemTrueRanked 1 Item,0.52137,0.00725,0.00594,0.00802,0.00918,0.01605,0.01392,0.02936,True,Ranked 1 Item
20,(Surprise) KNNBasic pearson itemTrueRanked 1 Item,0.52061,0.00754,0.00638,0.00643,0.01498,0.02058,0.01189,0.01384,True,Ranked 1 Item
21,(Surprise) KNNWithMeansTrueRanked 1 Item,0.53033,0.01246,0.00928,0.01104,0.02592,0.03,0.01934,0.02533,True,Ranked 1 Item
22,(Surprise) KNNWithZScoreTrueRanked 1 Item,0.52777,0.00551,0.00841,0.0051,0.00543,0.02964,0.01308,0.01398,True,Ranked 1 Item
23,(Surprise) CoClusteringTrueRanked 1 Item,0.53318,0.01391,0.00855,0.01477,0.02916,0.03454,0.02365,0.03279,True,Ranked 1 Item
24,(Surprise) SVD (base model)TrueRanked Only 10,0.52853,0.00986,0.00986,0.00897,0.01064,0.02528,0.01697,0.02742,True,Ranked Only 10
25,(Surprise) SVD++TrueRanked Only 10,0.53006,0.01014,0.00957,0.01217,0.01699,0.02589,0.01986,0.03051,True,Ranked Only 10
26,(Surprise) NMFTrueRanked Only 10,0.52302,0.00551,0.00681,0.00607,0.00972,0.02094,0.01205,0.01519,True,Ranked Only 10
27,(Surprise) SlopeOneTrueRanked Only 10,0.52542,0.00928,0.00913,0.01014,0.01723,0.02625,0.01737,0.02159,True,Ranked Only 10
28,(Surprise) KNNBaselineTrueRanked Only 10,0.52843,0.01304,0.01029,0.01149,0.0211,0.03009,0.02013,0.02648,True,Ranked Only 10
29,(Surprise) KNNBasic cosine user min = 1TrueRanked Only 10,0.52961,0.0087,0.00957,0.0073,0.01598,0.03051,0.01576,0.01599,True,Ranked Only 10
30,(Surprise) KNNBasic pearson userTrueRanked Only 10,0.529,0.01043,0.0087,0.01162,0.01886,0.02842,0.0187,0.02377,True,Ranked Only 10
31,(Surprise) KNNBasic cosine itemTrueRanked Only 10,0.50718,0.00174,0.00261,0.00081,0.00106,0.00302,0.00241,0.00527,True,Ranked Only 10
32,(Surprise) KNNBasic pearson itemTrueRanked Only 10,0.51904,0.00609,0.00594,0.00471,0.01194,0.01631,0.0099,0.01561,True,Ranked Only 10
33,(Surprise) KNNWithMeansTrueRanked Only 10,0.52536,0.01014,0.00971,0.00809,0.01465,0.02507,0.0153,0.01671,True,Ranked Only 10
34,(Surprise) KNNWithZScoreTrueRanked Only 10,0.52604,0.00986,0.00913,0.00706,0.00825,0.02598,0.01504,0.02277,True,Ranked Only 10
35,(Surprise) CoClusteringTrueRanked Only 10,0.52706,0.0087,0.0087,0.01014,0.01295,0.02839,0.01776,0.02247,True,Ranked Only 10
36,(Surprise) SVD (base model)FalseNo Clean,0.53033,0.00754,0.0087,0.00986,0.0129,0.02984,0.01787,0.02672,False,No Clean
37,(Surprise) SVD++FalseNo Clean,0.53771,0.01246,0.01275,0.01057,0.01783,0.03732,0.02149,0.02888,False,No Clean
38,(Surprise) NMFFalseNo Clean,0.53993,0.01333,0.0113,0.01374,0.02895,0.04453,0.02492,0.02851,False,No Clean
39,(Surprise) SlopeOneFalseNo Clean,0.53361,0.01014,0.01087,0.01039,0.01671,0.03684,0.02018,0.02264,False,No Clean
40,(Surprise) KNNBaselineFalseNo Clean,0.54442,0.00725,0.01348,0.01342,0.00987,0.05354,0.02644,0.02914,False,No Clean
41,(Surprise) KNNBasic cosine user min = 1FalseNo Clean,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,False,No Clean
42,(Surprise) KNNBasic pearson userFalseNo Clean,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,False,No Clean
43,(Surprise) KNNBasic cosine itemFalseNo Clean,0.51759,0.00522,0.00449,0.00623,0.00614,0.01343,0.01069,0.02004,False,No Clean
44,(Surprise) KNNBasic pearson itemFalseNo Clean,0.53097,0.00928,0.00855,0.01321,0.02135,0.03745,0.02174,0.02564,False,No Clean
45,(Surprise) KNNWithMeansFalseNo Clean,0.53862,0.01391,0.01116,0.01189,0.03168,0.04739,0.02358,0.02529,False,No Clean
46,(Surprise) KNNWithZScoreFalseNo Clean,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,False,No Clean
47,(Surprise) CoClusteringFalseNo Clean,0.54042,0.01304,0.00986,0.02852,0.03608,0.05723,0.03817,0.0411,False,No Clean
48,(Surprise) SVD (base model)FalseRanked 1 Item,0.52955,0.0113,0.01043,0.01135,0.01702,0.02724,0.0192,0.02673,False,Ranked 1 Item
49,(Surprise) SVD++FalseRanked 1 Item,0.53058,0.00986,0.01072,0.01017,0.01682,0.03349,0.01884,0.01994,False,Ranked 1 Item
50,(Surprise) NMFFalseRanked 1 Item,0.52995,0.00696,0.00812,0.0066,0.01214,0.02769,0.01454,0.01789,False,Ranked 1 Item
51,(Surprise) SlopeOneFalseRanked 1 Item,0.52971,0.00609,0.01,0.00686,0.00684,0.0296,0.01545,0.0186,False,Ranked 1 Item
52,(Surprise) KNNBaselineFalseRanked 1 Item,0.53782,0.01362,0.01275,0.01084,0.01969,0.0399,0.02194,0.02416,False,Ranked 1 Item
53,(Surprise) KNNBasic cosine user min = 1FalseRanked 1 Item,0.5546,0.01478,0.01464,0.02718,0.04066,0.07159,0.04228,0.04435,False,Ranked 1 Item
54,(Surprise) KNNBasic pearson userFalseRanked 1 Item,0.54812,0.01507,0.01261,0.01664,0.04245,0.06352,0.03138,0.03174,False,Ranked 1 Item
55,(Surprise) KNNBasic cosine itemFalseRanked 1 Item,0.52127,0.00725,0.00594,0.00559,0.01115,0.01605,0.01124,0.01936,False,Ranked 1 Item
56,(Surprise) KNNBasic pearson itemFalseRanked 1 Item,0.52063,0.00841,0.00638,0.00635,0.01112,0.02058,0.01235,0.01907,False,Ranked 1 Item
57,(Surprise) KNNWithMeansFalseRanked 1 Item,0.52997,0.00725,0.00928,0.0068,0.00992,0.03,0.01541,0.02008,False,Ranked 1 Item
58,(Surprise) KNNWithZScoreFalseRanked 1 Item,0.52831,0.01188,0.00841,0.01539,0.02344,0.02964,0.022,0.02824,False,Ranked 1 Item
59,(Surprise) CoClusteringFalseRanked 1 Item,0.54304,0.00986,0.01058,0.01526,0.02344,0.04945,0.02687,0.02791,False,Ranked 1 Item
60,(Surprise) SVD (base model)FalseRanked Only 10,0.52913,0.01072,0.01101,0.00912,0.01391,0.02754,0.01725,0.0215,False,Ranked Only 10
61,(Surprise) SVD++FalseRanked Only 10,0.52851,0.01043,0.01043,0.00836,0.01201,0.02449,0.01622,0.02343,False,Ranked Only 10
62,(Surprise) NMFFalseRanked Only 10,0.52281,0.01101,0.00783,0.00715,0.01488,0.01897,0.0133,0.02039,False,Ranked Only 10
63,(Surprise) SlopeOneFalseRanked Only 10,0.52537,0.00928,0.00913,0.01343,0.0157,0.02625,0.01992,0.02628,False,Ranked Only 10
64,(Surprise) KNNBaselineFalseRanked Only 10,0.52848,0.01188,0.01029,0.01376,0.02069,0.03009,0.02168,0.02924,False,Ranked Only 10
65,(Surprise) KNNBasic cosine user min = 1FalseRanked Only 10,0.52967,0.01043,0.00957,0.0086,0.01883,0.03051,0.01716,0.01939,False,Ranked Only 10
66,(Surprise) KNNBasic pearson userFalseRanked Only 10,0.52883,0.00696,0.0087,0.00849,0.0122,0.02842,0.01668,0.02304,False,Ranked Only 10
67,(Surprise) KNNBasic cosine itemFalseRanked Only 10,0.50724,0.00261,0.00261,0.00154,0.00181,0.00302,0.00327,0.0087,False,Ranked Only 10
68,(Surprise) KNNBasic pearson itemFalseRanked Only 10,0.51905,0.00551,0.00594,0.0036,0.00332,0.01631,0.00907,0.01659,False,Ranked Only 10
69,(Surprise) KNNWithMeansFalseRanked Only 10,0.52502,0.0058,0.00971,0.005,0.0058,0.02507,0.01245,0.01282,False,Ranked Only 10
70,(Surprise) KNNWithZScoreFalseRanked Only 10,0.52581,0.00696,0.00913,0.00663,0.00465,0.02598,0.01459,0.02259,False,Ranked Only 10
71,(Surprise) CoClusteringFalseRanked Only 10,0.53091,0.01159,0.00986,0.00898,0.01735,0.03361,0.01819,0.02229,False,Ranked Only 10
