,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,filled_with_popular,clean_fake_method
0,(MyMediaLite) UserKNNTrueNo Clean,0.52031,0.00667,0.00565,0.0058,0.00971,0.0226,0.01141,0.01357,True,No Clean
1,(MyMediaLite) BPRMFTrueNo Clean,0.52122,0.00609,0.00551,0.00852,0.01156,0.02357,0.01397,0.01851,True,No Clean
2,(MyMediaLite) ItemAttributeKNN TrueNo Clean,0.52117,0.00667,0.00551,0.00791,0.01238,0.02357,0.01367,0.02024,True,No Clean
3,(MyMediaLite) ItemKNNTrueNo Clean,0.51811,0.0058,0.00507,0.00469,0.01319,0.01918,0.00948,0.01094,True,No Clean
4,(MyMediaLite) MostPopularTrueNo Clean,0.5201,0.00406,0.00565,0.00427,0.00835,0.0226,0.00974,0.00866,True,No Clean
5,(MyMediaLite) RandomTrueNo Clean,0.51867,0.00551,0.00435,0.00672,0.01199,0.01698,0.01082,0.01473,True,No Clean
6,(MyMediaLite) UserAttributeKNNTrueNo Clean,0.51859,0.00522,0.00435,0.00474,0.01107,0.01698,0.00909,0.0112,True,No Clean
7,(MyMediaLite) WRMFTrueNo Clean,0.52101,0.00725,0.0058,0.0055,0.01234,0.02345,0.01154,0.01408,True,No Clean
8,(MyMediaLite) ZeroTrueNo Clean,0.51824,0.00464,0.00609,0.00503,0.00626,0.0194,0.01005,0.01007,True,No Clean
9,(MyMediaLite) MultiCoreBPRMF TrueNo Clean,0.51763,0.00406,0.00464,0.00399,0.00872,0.02013,0.00874,0.00757,True,No Clean
10,(MyMediaLite) SoftMarginRankingMFTrueNo Clean,0.52002,0.00609,0.00536,0.00396,0.00722,0.02115,0.00938,0.01067,True,No Clean
11,(MyMediaLite) WeightedBPRMFTrueNo Clean,0.51814,0.00551,0.00493,0.00841,0.01101,0.01952,0.01274,0.01767,True,No Clean
12,(MyMediaLite) MostPopularByAttributesTrueNo Clean,0.5181,0.00609,0.00493,0.00445,0.00902,0.01952,0.00955,0.01323,True,No Clean
13,(MyMediaLite) BPRSLIMTrueNo Clean,0.51951,0.00551,0.00522,0.00619,0.01075,0.0221,0.01132,0.01235,True,No Clean
14,(MyMediaLite) UserKNNTrueRanked 1 Item,0.5194,0.00406,0.00522,0.00404,0.00851,0.0221,0.00947,0.00952,True,Ranked 1 Item
15,(MyMediaLite) BPRMFTrueRanked 1 Item,0.52165,0.00667,0.00565,0.0081,0.01116,0.023,0.01364,0.01942,True,Ranked 1 Item
16,(MyMediaLite) ItemAttributeKNN TrueRanked 1 Item,0.52169,0.00725,0.00565,0.00876,0.0144,0.023,0.01417,0.02031,True,Ranked 1 Item
17,(MyMediaLite) ItemKNNTrueRanked 1 Item,0.51819,0.00638,0.00507,0.00526,0.00925,0.01918,0.01015,0.01331,True,Ranked 1 Item
18,(MyMediaLite) MostPopularTrueRanked 1 Item,0.52024,0.00609,0.00565,0.00586,0.00827,0.0226,0.01143,0.0147,True,Ranked 1 Item
19,(MyMediaLite) RandomTrueRanked 1 Item,0.51551,0.00406,0.00391,0.00711,0.01284,0.01818,0.01073,0.01111,True,Ranked 1 Item
20,(MyMediaLite) UserAttributeKNNTrueRanked 1 Item,0.51554,0.00406,0.00391,0.0072,0.01008,0.01818,0.01082,0.01183,True,Ranked 1 Item
21,(MyMediaLite) WRMFTrueRanked 1 Item,0.52176,0.0058,0.0058,0.00823,0.01403,0.02487,0.01378,0.01495,True,Ranked 1 Item
22,(MyMediaLite) ZeroTrueRanked 1 Item,0.51815,0.00464,0.00609,0.00484,0.00385,0.0194,0.00999,0.01272,True,Ranked 1 Item
