,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,filled_with_popular,clean_fake_method
0,(MyMediaLite) BPRMFTrueNo Clean,0.52117,0.00409,0.00596,0.00429,0.0076,0.01433,0.00865,0.01025,True,No Clean
1,(MyMediaLite) ItemKNNTrueNo Clean,0.56021,0.02112,0.01721,0.03167,0.06296,0.08609,0.04919,0.04919,True,No Clean
2,(MyMediaLite) MostPopularTrueNo Clean,0.53979,0.01329,0.01141,0.01521,0.02409,0.04054,0.0253,0.03274,True,No Clean
3,(MyMediaLite) RandomTrueNo Clean,0.51518,0.00307,0.00409,0.00481,0.00559,0.0165,0.00878,0.01261,True,No Clean
4,(MyMediaLite) UserAttributeKNNTrueNo Clean,0.5153,0.00443,0.00409,0.0041,0.00929,0.0165,0.00819,0.00883,True,No Clean
5,(MyMediaLite) WRMFTrueNo Clean,0.53239,0.00988,0.01039,0.01041,0.01585,0.03587,0.01954,0.02412,True,No Clean
6,(MyMediaLite) ZeroTrueNo Clean,0.52654,0.0092,0.00852,0.01224,0.0169,0.02561,0.01866,0.02719,True,No Clean
7,(MyMediaLite) MultiCoreBPRMF TrueNo Clean,0.5269,0.00988,0.00869,0.00766,0.01124,0.01992,0.01388,0.02282,True,No Clean
8,(MyMediaLite) SoftMarginRankingMFTrueNo Clean,0.51877,0.00613,0.00511,0.00439,0.00941,0.0149,0.00891,0.01284,True,No Clean
9,(MyMediaLite) WeightedBPRMFTrueNo Clean,0.53546,0.01295,0.0109,0.01063,0.02782,0.03776,0.02079,0.02416,True,No Clean
10,(MyMediaLite) MostPopularByAttributesTrueNo Clean,0.53588,0.01329,0.0109,0.01374,0.02612,0.03776,0.02382,0.03214,True,No Clean
11,(MyMediaLite) BPRSLIMTrueNo Clean,0.54587,0.01124,0.01312,0.01617,0.02379,0.05906,0.02955,0.02944,True,No Clean
12,(MyMediaLite) BPRMFTrueRanked 1 Item,0.51869,0.00613,0.00647,0.00419,0.00494,0.01267,0.00856,0.01311,True,Ranked 1 Item
13,(MyMediaLite) ItemAttributeKNN TrueRanked 1 Item,0.51859,0.00716,0.00647,0.00456,0.00787,0.01267,0.00907,0.01544,True,Ranked 1 Item
14,(MyMediaLite) ItemKNNTrueRanked 1 Item,0.54594,0.01533,0.01295,0.02386,0.04032,0.05648,0.03563,0.03836,True,Ranked 1 Item
15,(MyMediaLite) MostPopularTrueRanked 1 Item,0.53663,0.00886,0.01073,0.01069,0.01581,0.03825,0.02076,0.02531,True,Ranked 1 Item
16,(MyMediaLite) RandomTrueRanked 1 Item,0.51953,0.00613,0.00494,0.00865,0.01219,0.02374,0.01358,0.01591,True,Ranked 1 Item
17,(MyMediaLite) UserAttributeKNNTrueRanked 1 Item,0.51937,0.00375,0.00494,0.00721,0.00764,0.02374,0.01215,0.0131,True,Ranked 1 Item
18,(MyMediaLite) WRMFTrueRanked 1 Item,0.52687,0.00681,0.00852,0.00935,0.01388,0.02798,0.01663,0.02103,True,Ranked 1 Item
19,(MyMediaLite) ZeroTrueRanked 1 Item,0.52652,0.00818,0.00886,0.00861,0.01439,0.02616,0.01546,0.01684,True,Ranked 1 Item
20,(MyMediaLite) MultiCoreBPRMF TrueRanked 1 Item,0.52716,0.00818,0.0092,0.0082,0.01029,0.02082,0.01489,0.02258,True,Ranked 1 Item
21,(MyMediaLite) SoftMarginRankingMFTrueRanked 1 Item,0.52817,0.0092,0.00716,0.011,0.01776,0.02449,0.01741,0.02607,True,Ranked 1 Item
22,(MyMediaLite) WeightedBPRMFTrueRanked 1 Item,0.52563,0.0092,0.00835,0.0081,0.01829,0.02549,0.01501,0.02018,True,Ranked 1 Item
23,(MyMediaLite) MostPopularByAttributesTrueRanked 1 Item,0.52569,0.00818,0.00835,0.00731,0.013,0.02549,0.01436,0.01766,True,Ranked 1 Item
24,(MyMediaLite) BPRSLIMTrueRanked 1 Item,0.54072,0.01261,0.01175,0.01352,0.02991,0.05003,0.0255,0.02709,True,Ranked 1 Item
25,(MyMediaLite) BPRMFTrueRanked Only 10,0.52714,0.00716,0.00784,0.00545,0.01023,0.02389,0.01248,0.01608,True,Ranked Only 10
26,(MyMediaLite) ItemAttributeKNN TrueRanked Only 10,0.5273,0.00852,0.00784,0.00609,0.01489,0.02389,0.01333,0.02061,True,Ranked Only 10
27,(MyMediaLite) ItemKNNTrueRanked Only 10,0.56021,0.02317,0.01721,0.02755,0.06536,0.08609,0.04564,0.04432,True,Ranked Only 10
28,(MyMediaLite) MostPopularTrueRanked Only 10,0.53966,0.01022,0.01141,0.01608,0.02074,0.04054,0.02634,0.03573,True,Ranked Only 10
29,(MyMediaLite) RandomTrueRanked Only 10,0.52152,0.00443,0.00511,0.00542,0.00722,0.02115,0.01087,0.01329,True,Ranked Only 10
30,(MyMediaLite) UserAttributeKNNTrueRanked Only 10,0.52144,0.00443,0.00511,0.00525,0.00957,0.02115,0.01063,0.01267,True,Ranked Only 10
31,(MyMediaLite) WRMFTrueRanked Only 10,0.53416,0.01158,0.01022,0.01232,0.02023,0.0377,0.0215,0.02408,True,Ranked Only 10
32,(MyMediaLite) ZeroTrueRanked Only 10,0.52636,0.0075,0.00852,0.00594,0.01132,0.02561,0.01325,0.0164,True,Ranked Only 10
33,(MyMediaLite) MultiCoreBPRMF TrueRanked Only 10,0.52791,0.00988,0.00903,0.00731,0.01098,0.02337,0.01443,0.02326,True,Ranked Only 10
34,(MyMediaLite) SoftMarginRankingMFTrueRanked Only 10,0.51594,0.00375,0.00443,0.00256,0.00255,0.01165,0.00634,0.01014,True,Ranked Only 10
