,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR
0,BPRMF,0.52505,0.00954,0.00733,0.01179,0.01649,0.0232,0.01749,0.02474
1,ItemAttributeKNN ,0.52501,0.00681,0.00733,0.00629,0.01112,0.0232,0.01317,0.0202
2,ItemKNN,0.56009,0.01908,0.01721,0.02725,0.05089,0.08609,0.04569,0.04604
3,MostPopular,0.53963,0.01227,0.01141,0.0146,0.02621,0.04054,0.02448,0.02762
4,Random,0.51711,0.00443,0.00511,0.0038,0.00775,0.01633,0.0082,0.01066
5,UserAttributeKNN,0.51693,0.00375,0.00511,0.00326,0.00432,0.01633,0.00752,0.00876
6,WRMF,0.53653,0.0109,0.01158,0.0122,0.02074,0.04574,0.02287,0.02076
7,Zero,0.52904,0.00988,0.00937,0.00944,0.01623,0.03074,0.01717,0.01848
8,MultiCoreBPRMF ,0.52999,0.00886,0.00971,0.01001,0.01183,0.03131,0.01813,0.02304
9,SoftMarginRankingMF,0.52406,0.00681,0.00647,0.00471,0.00622,0.01738,0.01049,0.01623
10,WeightedBPRMF,0.53686,0.00852,0.01107,0.01044,0.01417,0.0419,0.0212,0.0244
11,MostPopularByAttributes,0.53717,0.01261,0.01107,0.01394,0.02258,0.0419,0.02408,0.02749
12,BPRSLIM,0.54116,0.0109,0.01278,0.01309,0.0215,0.04836,0.02492,0.02728
13,K-markov,0.54359,0.02044,0.01414,0.02389,0.03711,0.04908,0.03588,0.05215
