,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,filled_with_popular,clean_fake_method
0,K-markov(k=2)TrueNo Clean,0.5335,0.01072,0.01014,0.00853,0.01587,0.03103,0.0176,0.02182,True,No Clean
1,K-markov(k=3)TrueNo Clean,0.52263,0.00783,0.00725,0.00634,0.00689,0.01764,0.01232,0.02066,True,No Clean
2,K-markov-latest(k=2)TrueNo Clean,0.51987,0.00551,0.00638,0.00552,0.00673,0.0161,0.01088,0.0179,True,No Clean
3,K-markov(k=2)TrueRanked 1 Item,0.52745,0.00957,0.00884,0.00867,0.01312,0.02236,0.01594,0.02536,True,Ranked 1 Item
4,K-markov(k=3)TrueRanked 1 Item,0.52252,0.00696,0.00725,0.00476,0.00733,0.01764,0.01066,0.01466,True,Ranked 1 Item
5,K-markov-latest(k=2)TrueRanked 1 Item,0.51993,0.00638,0.00638,0.00658,0.00895,0.0161,0.01147,0.0173,True,Ranked 1 Item
6,K-markov(k=2)TrueRanked Only 10,0.53349,0.00783,0.01014,0.00759,0.01062,0.03103,0.01658,0.01984,True,Ranked Only 10
7,K-markov(k=3)TrueRanked Only 10,0.5225,0.00638,0.00725,0.00431,0.00544,0.01764,0.01035,0.01469,True,Ranked Only 10
8,K-markov-latest(k=2)TrueRanked Only 10,0.51987,0.00522,0.00638,0.00447,0.00534,0.0161,0.00968,0.01481,True,Ranked Only 10
9,K-markov(k=2)FalseNo Clean,0.5336,0.0113,0.01014,0.00957,0.01598,0.03103,0.01863,0.02547,False,No Clean
10,K-markov(k=3)FalseNo Clean,0.52259,0.00696,0.00725,0.00646,0.01121,0.01764,0.01208,0.01796,False,No Clean
11,K-markov-latest(k=2)FalseNo Clean,0.52,0.00841,0.00638,0.00575,0.00974,0.0161,0.01098,0.01808,False,No Clean
12,K-markov(k=2)FalseRanked 1 Item,0.52749,0.00957,0.00884,0.00907,0.01531,0.02236,0.01605,0.02335,False,Ranked 1 Item
13,K-markov(k=3)FalseRanked 1 Item,0.52258,0.00812,0.00725,0.00569,0.00762,0.01764,0.0116,0.01714,False,Ranked 1 Item
14,K-markov-latest(k=2)FalseRanked 1 Item,0.52,0.0058,0.00638,0.00566,0.00669,0.0161,0.01074,0.01596,False,Ranked 1 Item
15,K-markov(k=2)FalseRanked Only 10,0.5336,0.01101,0.01014,0.01314,0.0165,0.03103,0.02127,0.02788,False,Ranked Only 10
16,K-markov(k=3)FalseRanked Only 10,0.52235,0.0058,0.00725,0.00437,0.00806,0.01764,0.01009,0.01317,False,Ranked Only 10
17,K-markov-latest(k=2)FalseRanked Only 10,0.51981,0.00551,0.00638,0.00428,0.00806,0.0161,0.00939,0.01241,False,Ranked Only 10
