,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR
0,(MyMediaLite) UserKNN(clean_fake=False),0.55998,0.01704,0.01721,0.03078,0.04159,0.08609,0.04811,0.04901
1,(MyMediaLite) BPRMF(clean_fake=False),0.52739,0.00681,0.00767,0.00465,0.00753,0.02249,0.0117,0.01649
2,(MyMediaLite) ItemAttributeKNN (clean_fake=False),0.52739,0.00647,0.00767,0.00624,0.00999,0.02249,0.01282,0.01619
3,(MyMediaLite) ItemKNN(clean_fake=False),0.56034,0.02112,0.01721,0.03573,0.05665,0.08609,0.05254,0.05621
4,(MyMediaLite) MostPopular(clean_fake=False),0.53968,0.01261,0.01141,0.01568,0.02365,0.04054,0.02605,0.035
5,(MyMediaLite) Random(clean_fake=False),0.52154,0.00681,0.0063,0.00666,0.01441,0.02491,0.01273,0.01629
6,(MyMediaLite) UserAttributeKNN(clean_fake=False),0.52142,0.00681,0.0063,0.00751,0.01473,0.02491,0.01315,0.01395
7,(MyMediaLite) WRMF(clean_fake=False),0.53502,0.01295,0.0121,0.01176,0.02107,0.04183,0.02254,0.02651
8,(MyMediaLite) Zero(clean_fake=False),0.52889,0.00579,0.00937,0.00701,0.00943,0.03074,0.01526,0.01788
9,(MyMediaLite) MultiCoreBPRMF (clean_fake=False),0.53247,0.00954,0.00869,0.0094,0.01528,0.02537,0.01652,0.02345
10,(MyMediaLite) SoftMarginRankingMF(clean_fake=False),0.52055,0.00647,0.00579,0.00568,0.00821,0.01418,0.01016,0.01628
11,(MyMediaLite) WeightedBPRMF(clean_fake=False),0.53049,0.0092,0.0092,0.0122,0.02018,0.03334,0.01979,0.02301
12,(MyMediaLite) MostPopularByAttributes(clean_fake=False),0.5306,0.00954,0.0092,0.00873,0.01855,0.03334,0.01748,0.02076
13,(MyMediaLite) BPRSLIM(clean_fake=False),0.55122,0.0167,0.01533,0.02035,0.04013,0.06591,0.03534,0.03805
14,(MyMediaLite) UserKNN(clean_fake=True),0.55123,0.0167,0.01533,0.01848,0.0301,0.06591,0.03376,0.03646
15,(MyMediaLite) BPRMF(clean_fake=True),0.5232,0.00886,0.00716,0.00508,0.01232,0.01918,0.01134,0.01789
16,(MyMediaLite) ItemAttributeKNN (clean_fake=True),0.52315,0.0092,0.00716,0.00729,0.01442,0.01918,0.01293,0.01914
17,(MyMediaLite) ItemKNN(clean_fake=True),0.56019,0.0184,0.01721,0.03846,0.05293,0.08609,0.054,0.05481
18,(MyMediaLite) MostPopular(clean_fake=True),0.53962,0.01227,0.01141,0.01044,0.02263,0.04054,0.02134,0.02599
19,(MyMediaLite) Random(clean_fake=True),0.5263,0.00477,0.00681,0.00711,0.00947,0.02538,0.01353,0.01535
20,(MyMediaLite) UserAttributeKNN(clean_fake=True),0.52656,0.00681,0.00681,0.00693,0.01179,0.02538,0.01359,0.01715
21,(MyMediaLite) WRMF(clean_fake=True),0.53737,0.01056,0.01175,0.01249,0.01617,0.0443,0.02351,0.02672
22,(MyMediaLite) Zero(clean_fake=True),0.52917,0.01158,0.00937,0.00968,0.01704,0.03074,0.01757,0.02043
23,(MyMediaLite) MultiCoreBPRMF (clean_fake=True),0.53087,0.00784,0.00954,0.00659,0.01001,0.02799,0.01477,0.02037
24,(MyMediaLite) SoftMarginRankingMF(clean_fake=True),0.51677,0.00545,0.00511,0.0051,0.00625,0.01133,0.00879,0.01338
25,(MyMediaLite) WeightedBPRMF(clean_fake=True),0.53549,0.0109,0.00937,0.0103,0.02321,0.03929,0.01999,0.02269
26,(MyMediaLite) MostPopularByAttributes(clean_fake=True),0.53525,0.00852,0.00937,0.00772,0.01422,0.03929,0.01776,0.01892
27,(MyMediaLite) BPRSLIM(clean_fake=True),0.55174,0.01704,0.01465,0.01903,0.03974,0.0645,0.03398,0.03824
