,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,filled_with_popular,clean_fake_method
0,(Surprise) SVD (base model)TrueNo Clean,0.55712,0.0201,0.01584,0.02356,0.04514,0.06498,0.03952,0.04989,True,No Clean
1,(Surprise) SVD++TrueNo Clean,0.56338,0.02385,0.01891,0.02876,0.04304,0.07036,0.04571,0.05702,True,No Clean
2,(Surprise) NMFTrueNo Clean,0.55838,0.01363,0.01635,0.01694,0.02465,0.07042,0.03379,0.03214,True,No Clean
3,(Surprise) SlopeOneTrueNo Clean,0.55299,0.02147,0.01567,0.02565,0.04567,0.06323,0.0401,0.04561,True,No Clean
4,(Surprise) KNNBaselineTrueNo Clean,0.5664,0.02589,0.0184,0.04876,0.06506,0.08289,0.06364,0.0767,True,No Clean
5,(Surprise) KNNBasic cosine user min = 1TrueNo Clean,0.59567,0.01976,0.02385,0.03356,0.06172,0.13919,0.06287,0.04835,True,No Clean
6,(Surprise) KNNBasic pearson userTrueNo Clean,0.58726,0.01942,0.02198,0.02728,0.05557,0.12756,0.05562,0.04623,True,No Clean
7,(Surprise) KNNBasic cosine itemTrueNo Clean,0.53721,0.01261,0.0092,0.01506,0.01981,0.03813,0.02521,0.03662,True,No Clean
8,(Surprise) KNNBasic pearson itemTrueNo Clean,0.54815,0.01363,0.01227,0.02815,0.03937,0.05867,0.03983,0.04537,True,No Clean
9,(Surprise) KNNWithMeansTrueNo Clean,0.55791,0.0201,0.01601,0.02224,0.04655,0.07549,0.03965,0.04228,True,No Clean
10,(Surprise) KNNWithZScoreTrueNo Clean,0.55412,0.01022,0.01465,0.01913,0.02003,0.0718,0.03458,0.03081,True,No Clean
11,(Surprise) CoClusteringTrueNo Clean,0.58721,0.02249,0.02198,0.05367,0.06221,0.12632,0.0765,0.07848,True,No Clean
12,(Surprise) BaselineOnlyTrueNo Clean,0.56604,0.02215,0.01891,0.0259,0.05076,0.07805,0.04377,0.04475,True,No Clean
